Bolagsnamn,Land,Lista,Bransch,Ticker,ISIN,Börsvärde,Aktiekurs,Utveck.  1d,Utveck.  1v,Utveck.  1m,Utveck.  3m,Utveck.  6m,Utveck.  1 år,Utveck.  3 år,Utveck.  5 år,P/E,P/E avg - 1 år,P/E avg - 3 år,P/S,P/S avg - 1 år,P/S - avg 3 år,P/FCF,P/FCF avg - 1 år,P/FCF avg - 3 år,MA(5)/MA(20),MA(20)/MA(70),MA(50)/MA(200),N. Rapport Datum,N. Rapport Dagar,Graham_Score
Ecoclime Comfort Ceilings,Sverige,Aktietorget,Byggprodukter,ECC,SE0005504164,43.1,4,0.03359176,0.05263159,-0.0384615,-0.1416309,-0.2982456,-0.2380952,-0.3846154,,1666.667,280.6309,627.4494,5.005226,17.09062,6.931831,-3.221226,-30.70145,-36.95761,-0.03360075,-0.06688505,-0.1502019,,,1
ECOMB,Sverige,Aktietorget,Byggprodukter,ECOM,SE0004051068,10.96149,0.955,0,-0.09905657,-0.005208328,-0.09047617,-0.1695652,-0.5102564,-0.7106061,-0.3807949,-4.456369,-9.812055,-11.67488,0.8911056,2.972506,3.883297,-54.53477,-7.634661,-2.882114,-0.01022887,-0.02708012,-0.1657289,,,
EcoRub,Sverige,Aktietorget,Produktion,ECO B,SE0003273531,19.36985,0.378,-0.05263157,-0.02577325,-0.03076922,-0.1505618,0.1117647,0.1595092,-0.8113208,-0.8898697,-5.502183,-9.996255,-6.057178,5.867875,8.330231,9.74358,-5.61445,19.01902,-6.458494,-0.00426811,-0.02449185,-0.0125351,19/05/2017,1,1
Edgeware,Sverige,Small Cap,Kommunikation,EDGE,SE0009268360,956.879,38.5,-0.002590634,0.002604127,0,0.1,,,,,60.9563,20.31877,20.31877,3.792624,1.264208,1.264208,29.26235,9.754118,9.754118,-0.002971888,0.04387617,0.09158444,04/05/2017,,1
Effnetplattformen,Sverige,First North,Programvara & Internet,EFFN,SE0006425484,45.1875,6.25,-0.007936538,-0.08088238,-0.1197183,-0.1496599,-0.7710623,-0.7807018,,,18.83097,27.37103,24.73024,4.707031,10.86505,8.140331,-3.502907,22.90819,20.58728,-0.06138759,-0.08616268,-0.6345384,,,3
Effnetplattformen Dividend,Sverige,First North,Elektronisk utrustning,EFFP,SE0009522451,,14.25,0,-0.003496517,-0.2255435,-0.2766498,,,,,,,,,,,,,,-0.0954774,-0.123417,-0.07402897,,,2
Efore,Finland,Small Cap,Tjänster & Leverans,EFO1V,FI0009900054,35.13636,0.63,0,-0.01562499,-0.01562499,0.02439022,0.3263158,-0.1870967,-0.09999999,0,-3.082192,-36.28553,-10.25229,0.4653822,0.4820315,0.479385,-12.11599,8.767812,-0.5891666,0.01471174,0.007266283,0.03397095,,,
Egetaepper,Denmark,Small Cap,Produktion,EGE B,DK0060458206,0.244,244,-0.004081633,0.004115226,0.01244813,0.02521008,0.06550218,0.2323232,0.2019704,1.033333,,,,,,,,,,0.008486867,0.00889051,0.05163288,,,2
Eidesvik Offshore,Norge,OB Match,Tjänster & Leverans,EIOF,NO0010263023,190.2465,6.31,0,0.1070176,0.07679177,0.08793098,-0.04393939,-0.3042999,-0.8028125,-0.8285326,-0.5244218,-1.059689,-1.182525,0.2265638,0.3027737,0.3117091,0.2106508,0.4567657,-2.227481,0.0386281,-0.01123077,-0.1869891,15/05/2017,,2
Ekornes,Norge,OB Match,Konsument,EKO,NO0003035305,3885.143,105.5,0,-0.004716981,-0.1387755,-0.06637168,0.03940887,0.1223404,0.1920904,0.1988636,14.27315,12.57561,14.77305,1.282479,1.134703,1.167577,8.982989,8.113728,10.23312,-0.1099979,0.0448966,0.07255948,04/05/2017,,4
Elanders,Sverige,Mid Cap,Media,ELAN B,SE0000119299,3809.824,107.75,-0.02927928,-0.01822323,0.03605769,0.03110048,0.01411765,0.6387833,1.69375,4.279327,16.24674,11.80359,12.18404,0.5130455,0.4357024,0.423044,-2.144085,0.9624205,0.8483818,0.01096368,0.03687298,-0.001174152,26/04/2017,,1
Elecster,Finland,Small Cap,Tjänster & Leverans,ELEAV,FI0009900658,54.75828,14.61,-0.006122459,0.01317611,0.06331877,0.3245693,0.3796034,0.3527777,1.540869,2.283146,17.53481,12.37981,12.37623,1.255319,0.8963165,0.8729653,21.12588,-90.54536,17.88467,-0.02142859,0.1840066,0.1181715,11/05/2017,,1
Electra Gruppen,Sverige,Small Cap,Återförsäljare,ELEC,SE0001572520,304.2585,58.5,-0.0209205,-0.04098361,-0.1333333,-0.1490909,-0.06024097,-0.05645161,-0.3197674,0.9180328,11.65757,12.81275,13.02953,0.1758516,0.1997702,0.2098557,3.90075,8.893688,15.1116,-0.05438667,-0.05534124,0.00902009,26/04/2017,,5
Electrolux B,Sverige,Large Cap,Konsument,ELUX B,SE0000103814,78546.42,273.3,-0.02323088,0.009604638,0.06466683,0.1585417,0.2747201,0.231081,0.6326165,1.015486,16.70497,19.31966,24.50867,0.6445522,0.5473822,0.5624706,16.45296,11.34432,12.76439,0.03022707,0.0727607,0.1075921,28/04/2017,,3
Electromagnetic Geoservices,Norge,OB Match,Olja & Gas,EMGS,NO0010358484,146.5896,4.47,0,-0.004454339,-0.0969697,-0.2239584,0.06175766,-0.3791667,-0.9703639,-0.9866447,-0.3562661,-0.6817665,-1.162031,0.4806069,0.8061614,1.19877,-3.057926,-2.369303,-6.43262,0.007588506,-0.1573313,-0.07992929,11/05/2017,,1
Elekta,Sverige,Large Cap,Sjukvård,EKTA B,SE0000163628,34990.57,91.4,-0.01295893,-0.03229217,0.04936858,0.1078788,0.1228501,0.4061539,-0.03023871,0.08874335,323.9986,274.9264,190.0796,3.302243,2.806492,2.733229,49.91522,54.44236,53.34664,0.009514928,0.0611614,0.08265675,,,3
Elisa,Finland,Large Cap,Telekommunikationstjänster,ELISA,FI0009007884,5410.839,33.88,-0.00352938,0.008933866,0.06440469,0.08450709,0.1614673,0.03166873,0.5428052,1.121478,20.58949,20.35402,19.85779,3.247413,3.19479,3.104525,84.28098,52.02241,60.38939,0.03589439,0.009769678,0.03439224,20/04/2017,,4
Ellen,Sverige,First North,Bioteknik,ELN,SE0001233289,35.02476,0.51,-0.009708729,-0.0285714,-0.0285714,-0.07272731,-0.08108111,-0.1282051,-0.5788605,-0.6867707,-5.848624,-17.7871,-12.30409,1.83616,3.703748,2.645182,-5.430195,11.38933,58.55476,0.1167513,-0.1013422,-0.08184141,,,
Elos,Sverige,Small Cap,Sjukvård,ELOS B,SE0000120776,586.947,97,0.0237467,0.05434782,0.02917772,-0.03960396,-0.03960396,0.03191489,0.4057971,1.271663,20.45119,27.50034,27.70071,1.062348,1.147782,1.147212,8.568569,14.22925,4.449026,-0.000925064,-0.007290363,-0.05990553,26/04/2017,,1
Eltel,Sverige,Mid Cap,Tjänster & Leverans,ELTEL,SE0006509949,3081.101,49.2,-0.01204816,0.002036707,-0.1443478,0.02500002,-0.18,-0.4752,,,-3.863824,33.56944,3.501098,0.2304818,0.4288171,0.2359654,-7.627148,-10.95704,-28.14526,-0.07933974,0.01135421,-0.148703,05/05/2017,,2
Elverket Vallentuna,Sverige,Aktietorget,Energiproducenter,ELV,SE0000912289,481.14,74.25,-0.01655629,-0.04501608,0.02061856,-0.04807692,0.173913,0.3813953,0.948819,1.183824,11.60048,9.588959,11.20006,1.696987,1.284758,1.227223,349.92,120.8916,142.5011,0.001989365,0.009370923,0.1333009,18/05/2017,0,2
EMAS Offshore,Norge,OB Standard,Olja & Gas,EMAS,SG1AD2000008,127.5049,0.29,0,0,0,-0.4821429,-0.1944445,-0.5671642,-0.9521823,-0.9366176,-0.05573279,-0.3528849,0.1213481,0.09042625,0.2335418,0.265231,0.4232079,-0.9072193,-2.583418,,-0.1369048,-0.3951403,07/04/2017,,1
Emotra,Sverige,Aktietorget,Läkemedel,EMOT,SE0006851507,49.96425,5.25,0.01941746,0.2529833,-0.2279412,-0.3518519,-0.2045454,0.05,-0.3823529,,-7.664234,-8.066967,-7.743484,85.99699,346.2903,151.9797,-9.223601,-9.456879,-8.630146,0.002051711,-0.4076016,0.03910077,,,1
Empire,Sverige,First North,Konsument,EMP B,SE0000661589,26.7399,33,-0.131579,0.2,2.3,1.704918,1.75,2.055556,-0.8955696,-0.9649682,-11.10999,-4.798815,-7.297055,0.7565184,0.7810437,1.074333,-3.997593,-1.048743,-5.506669,0.7228606,0.4121802,0.01313066,12/05/2017,,1
Enalyzer,Denmark,First North,Programvara & Internet,ENALYZ,DK0060070589,,5.2,0,0.009708682,-0.07142859,-0.09565221,0.1182795,0.03999996,0.1555555,0.1555555,,,,,,,,,,-0.01951545,-0.03966838,0.03748393,,,2
Endomines,Sverige,Small Cap,Gruv & Metall,ENDO,SE0008294334,162.533,15.5,-0.0372671,-0.04320992,-0.1091954,-0.1884817,-0.2512077,-0.2288557,-0.908284,-0.972807,-1.32793,-2.511535,-1.325309,1.419353,3.271746,1.612352,-3.295479,-4.440357,-2.923229,-0.03307271,-0.04165644,-0.1435843,27/04/2017,,
Endomines Oyj,Finland,Small Cap,Gruv & Metall,ENDOM,SE0008294334,16.88246,1.61,-0.01829267,-0.0473373,-0.1202186,-0.195,-0.2369668,-0.2546296,-0.8717489,,-1.321297,-2.031532,-1.250226,1.413681,2.6271,1.508728,-3.309183,-3.724985,-2.806632,-0.03178769,-0.05700481,-0.140374,,,
Enea,Sverige,Small Cap,IT-Tjänster,ENEA,SE0008212518,1166.15,70.25,-0.01403509,-0.08169934,-0.2172702,-0.3727679,-0.2106742,-0.1831395,0.1563786,0.7134146,12.62082,14.22311,14.44913,2.236146,2.676335,2.647032,26.68535,13.55529,20.45396,-0.0806877,-0.1142661,-0.0444802,26/04/2017,,2
Engelska Skolan,Sverige,Mid Cap,Konsument,ENG,SE0008585525,2743.875,67.75,0,-0.0109489,0.01879699,0.003703704,0.07539682,,,,21.60533,5.401333,7.201777,1.51847,0.3796175,0.5061566,23.45192,5.862981,7.817308,-0.001650393,0.01583457,0.02020609,18/05/2017,0,
Eniro,Sverige,Small Cap,Media,ENRO,SE0000718017,123.1135,0.233,-0.04036245,-0.05553307,-0.06800002,-0.1946077,-0.1408555,-0.6623189,-0.9952156,-0.9780189,-0.1325294,-0.4115101,-0.5613387,0.06503617,0.1606979,0.2579583,1.578378,2.135348,6.257467,0.02531648,-0.126871,-0.1966366,09/05/2017,,1
Enorama Pharma,Sverige,First North,Sjukvård,ERMA,SE0008216329,31.745,7,0,0.1023622,-0.1666666,-0.04109592,0,,,,-4.733888,-6.156201,-3.130997,6.935766,7.631429,5.352631,-2.675291,-4.520911,-2.095892,0.048105,-0.05323339,-0.07153338,17/05/2017,,
EnQuest,Sverige,Mid Cap,Olja & Gas,ENQ,GB00B635TG28,3467.491,4.32,0.001855374,-0.008719511,-0.1247974,-0.1985157,0.3714286,-0.05263153,-0.7142857,-0.6788104,2.132385,1.795077,-1.277803,0.4948243,1.105735,0.6402879,-1.72252,-3.307655,-1.508552,-0.002047122,-0.09245181,0.1029516,,,2
Envirologic,Sverige,Aktietorget,Tjänster & Leverans,ENVI B,SE0005704095,22.94222,3.01,0,0.00333333,0.013468,-0.03215431,-0.08231707,-0.5439394,-0.4527273,,-6.42476,-11.27937,20.86397,3.596523,2.462144,2.42222,-4.23132,-30.70824,-22.86671,-0.006942213,-0.01456624,-0.07683456,19/05/2017,1,1
Enzymatica,Sverige,First North,Läkemedel,ENZY,SE0003943620,271.7521,2.99,0.03819441,0.1283018,0.04912284,0.09124088,-0.2449495,0.3408071,-0.7626984,-0.6574361,-5.620301,-5.96415,-5.263482,7.212105,7.266747,6.979499,-4.431921,-4.35176,-4.516496,0.02687883,-0.04100704,-0.1464841,20/04/2017,,1
Eolus Vind,Sverige,Small Cap,Energiproducenter,EOLU B,SE0007075056,542.9726,21.8,-0.009090944,0,0.07920784,-0.03964764,-0.07627124,0.08457705,-0.3607038,-0.3292308,265.8537,33.38786,83.92928,0.5347698,0.7152534,0.6118279,7.086658,5.816922,4.176569,0.0136416,0.01922309,-0.04912371,20/04/2017,,2
EOS Russia,Sverige,First North,Energiproducenter,EOS,SE0002016261,451.8075,10.7,0,-0.009259295,0.04901961,0,0.281437,1.07767,0.5070422,-0.4976526,1.177195,-1.610829,-0.8946264,,,,83.32857,-127.9426,-18.25311,0.02851701,0.01015091,0.08851803,,,3
Episurf,Sverige,Small Cap,Läkemedel,EPIS B,SE0003491562,103.6685,6.5,-0.02985072,0.05691055,-0.0909091,-0.5751634,-0.3981481,-0.4736842,-0.8943089,-0.761297,-1.681107,-8.311056,-8.106093,24.3068,69.35518,91.04028,-1.681293,-7.886003,-7.800205,0.07966709,-0.2662041,-0.4198622,,,1
EQL Pharma,Sverige,Aktietorget,Läkemedel,EQL,SE0005497732,180.7319,7.55,0.02027028,-0.01948047,-0.02580643,-0.1748633,-0.07926825,0.006666692,0.7044814,,-37750,-9409.655,-12553.64,7.643233,5.953637,6.16431,-28.29241,-165.9627,-25.77085,0.01084006,-0.0836364,-0.04460466,15/05/2017,,1
Ericsson B,Sverige,Large Cap,Kommunikation,ERIC B,SE0000108656,191412,58.5,-0.01432179,0.00257072,0.00601889,0.09962405,0.2305427,-0.06921239,-0.2830882,-0.04489796,-17.17204,36.1867,42.2831,0.883027,0.9747493,1.033047,-31.75381,39.14511,9.854816,0.01162732,0.008688927,0.05915654,25/04/2017,,3
Erria,Denmark,Small Cap,Tjänster & Leverans,ERRIA,DK0060101483,,9,0,-0.04761903,-0.07216493,-0.1428571,0.07142862,-0.1428571,-0.4545454,0.5,,,,,,,,,,-0.01850367,-0.07658839,-0.002701044,,,2
Esoft Systems,Denmark,First North,Programvara & Internet,ESOFT,DK0060069813,80.3103,22.9,0,0,0.09047617,0.01777776,-0.08400001,-0.1821429,0.4585987,2.271429,26.84328,26.84328,,0.7599457,0.7599457,,34.3647,34.3647,,0.04685712,0.01508129,-0.05551875,02/05/2017,,3
Etrion,Sverige,Small Cap,Energiproducenter,ETX,CA29786T1057,674.8618,2.02,-0.01463413,-0.0380952,-0.04265399,-0.0776256,-0.0982143,0.1412429,-0.4766839,-0.2518519,-1.765117,-5.772875,-5.964544,5.000299,2.386446,3.380477,2.668589,-0.3899029,-2.83966,-0.01030934,-0.03468227,-0.01644439,,,2
Etteplan,Finland,Small Cap,Tjänster & Leverans,ETT1V,FI0009008650,178.8466,7.22,-0.01768709,-0.04370866,0.035868,0.07280829,0.2892857,0.6674364,1.292063,1.876494,20.2923,17.00548,16.7299,0.8910875,0.6819443,0.7123439,-11.30581,-7.041303,-1.752437,0.01791716,0.03948176,0.1618394,03/05/2017,,1
Eurocine Vaccines,Sverige,Aktietorget,Läkemedel,EUCI,SE0001839069,246.976,4.62,-0.0128205,0.01986748,-0.02736844,0.331412,0.3391304,3.358491,-0.538,-0.748913,-9.415121,-8.969385,-10.41483,,,226.3622,-26.09912,-12.67805,-15.98468,0.01784158,0.06304526,0.2521971,18/05/2017,0,1
Eurocon,Sverige,Aktietorget,Tjänster & Leverans,EURO,SE0002222596,244.6258,5.9,-0.0247934,-0.01666665,0.07272729,0.1132075,0.1132075,0.372093,0.7302052,0.475,12.08026,14.04388,13.11617,1.084652,0.9676915,0.9709203,13.51449,10.93222,12.38018,0.02156448,0.06367254,0.05887532,04/05/2017,,4
Euroinvestor,Denmark,Small Cap,Programvara & Internet,EI,DK0060074656,,10.6,0,-0.0185185,-0.06194688,-0.1653543,-0.152,-0.3071895,-0.3071895,-0.04504504,,,,,,,,,,-0.02953202,-0.06973791,-0.1069226,10/05/2017,,2
European institute,Sverige,Aktietorget,Sjukvård,EURI B,SE0000488744,3.504702,0.433,-0.01590909,-0.01590909,-0.04203539,-0.1830188,-0.3439394,-0.3858156,0.05609756,1.405555,-4.645923,-30.91936,-6.182582,2.797049,7.354933,5.848364,-4.575329,-14.67182,-28.85478,-0.0525862,-0.06140733,-0.1832165,,,1
Europris,Norge,OB Match,Konsumentprodukter,EPR,NO0010735343,6595.275,39.5,0,0,-0.005037802,0.07923502,0.04497356,0.1350575,,,16.33582,16.07302,18.86815,1.273467,1.285146,1.329332,29.52928,23.80908,27.9259,-0.006697834,0.0382179,0.01658499,27/04/2017,,2
Everysport Media,Sverige,Aktietorget,Kommunikation,EVERY A,SE0002869719,117.0832,1.04,0.06122443,0.03999996,0.03999996,-0.1034483,-0.2296297,-0.08771931,-0.03863933,0.007166295,-6.001154,-8.672319,-6.879686,1.511082,1.76623,1.431626,-4.408087,-16.31981,-10.67728,-0.02417362,-0.01348811,-0.1875341,27/04/2017,,
Evolution Gaming,Sverige,First North,Betting & Spel,EVO,SE0006826046,14028.3,390,-0.025,-0.02255639,0.1711712,0.2264151,0.56,0.4364641,,,39.80688,33.73194,36.97102,11.26414,9.625831,10.15741,54.92504,121.7307,73.64969,0.02196884,0.1322207,0.208494,20/04/2017,,2
eWork,Sverige,Small Cap,Bemanning,EWRK,SE0002402701,1830.522,106.5,-0.0361991,0.031477,-0.009302326,0.148248,0.4152824,0.4791667,1.597561,1.878378,23.34144,19.22736,18.92105,0.2206091,0.1815622,0.1812689,34.67029,21.42364,12.83147,-0.005002916,0.06227267,0.234623,24/04/2017,,5
Exel Composites,Finland,Small Cap,Tjänster & Leverans,EXL1V,FI0009007306,76.02183,6.39,-0.006220834,0.1113043,0.278,0.2529412,0.3340292,0.275449,0.03398059,-0.113731,384.9398,89.13852,144.5838,1.040269,1.114313,1.102654,,-9.209005,-46.09753,0.1280289,0.06492436,0.02106833,,,1
Exeotech Invest,Sverige,NGM,Kommunikation,ETIN MTF,SE0004237899,11.33322,0.026,0,0.08333335,-0.1333333,-0.1612903,-0.6119403,-0.8461539,-0.9623188,,-0.9701493,-0.2986079,0.09439024,1.205662,7.17315,8.815392,-0.2685597,-4.491622,-5.517674,-0.009523749,-0.1203926,-0.4706366,,,2
Expedit,Denmark,Small Cap,Återförsäljare,EXP B,DK0015312474,0.89,890,0,0,-0.02197802,-0.002242152,0.2624114,0.4590164,1.072177,1.738462,,,,,,,,,,,-0.003980875,0.09600914,,,2
ExpreS2ion Biotech,Sverige,First North,Bioteknik,EXPRS2,SE0008348262,44.5128,5.1,-0.0377359,-0.1130435,-0.1570248,-0.2867133,-0.4069768,,,,-5.213658,,,9.56853,,,-5.750265,,,-0.03670543,-0.09491843,-0.2011589,,,3
Eyeonid,Sverige,NGM,IT-Tjänster,EOID MTF,SE0007280482,202.886,4.88,-0.05242718,0.02736844,0.8914729,0.7745455,1.131004,,,,-10.27368,-10.27368,,179.0697,179.0697,,-11.81012,-11.81012,,0.2046783,0.3070787,0.1485825,,,2
F.E. Bording,Denmark,Small Cap,Kommunikation,BORD B,DK0010008028,0.785,785,0,-0.006329114,-0.003807107,-0.03444034,-0.02241594,0.006410256,-0.05421687,0.5242718,,,,,,,,,,0.002420068,-0.01971036,-0.01245123,,,2
Fagerhult,Sverige,Mid Cap,Byggprodukter,FAG,SE0005935558,12831.41,337.5,-0.008810572,-0.05196629,0.09577922,0.1800699,0.5807962,0.8243244,2.352681,3.9032,30.02215,22.28083,23.33803,2.728056,1.94472,1.968751,-33.95452,-42.14963,-26.41127,-0.01219338,0.1160488,0.2381647,03/05/2017,,5
Farstad Shipping,Norge,OB Match,Tjänster & Leverans,FAR,NO0003215303,12.48,0.32,0,0,-0.03030309,-0.8431373,-0.9507692,-0.9751938,-0.9973553,-0.9981065,,-2.033042,-135.825,,0.3450374,0.3585466,,-0.9251338,-4.686519,-0.01538461,-0.6305019,-0.8988602,,,1
Fastator,Sverige,First North,Byggprodukter,ABFAST B,SE0007578026,350.5,25,-0.003984079,-0.05303029,0.04602512,-0.04214561,-0.1349481,-0.1134752,-0.7171946,-0.7647103,3.839361,-5.724756,-12.83074,37.83871,283.9278,306.4792,-4.040532,3.160146,-24.50504,0.0189507,-0.01909202,-0.08033789,19/05/2017,1,3
FastOut Int.,Sverige,Aktietorget,Elektronisk utrustning,FOUT,SE0007525738,57.42804,1.02,0.05154634,0,-0.2444445,-0.3419355,-0.3245033,-0.3742331,,,-9.018568,-9.018568,,9.593565,9.593565,,-6.931819,-6.931819,,-0.09871626,-0.1848129,-0.07682598,28/04/2017,,3
FastPassCorp,Denmark,First North,Programvara & Internet,FASTPC,DK0060568145,0.052,52,0,0.04417672,0.1428571,0.2093023,-0.03703704,0.6774194,0.08333333,1.888889,,,,,,,,,,-0.001248419,0.05467927,0.1191536,,,2
Feelgood,Sverige,Small Cap,Sjukvård,FEEL,SE0000381840,384.578,3.7,-0.02631577,-0.05128206,-0.01595743,-0.0488432,0.7050691,1.96,1.890625,0.7452831,11.94705,11.54187,-0.3155015,0.5980856,0.3744352,0.3910659,11.70175,17.09195,-5.795644,-0.01393187,0.01755178,0.355956,03/05/2017,,
Fenix Outdoor,Sverige,Mid Cap,kläder & Textil,FOI B,CH0242214887,13074.89,985,-0.01203611,0.05913978,0.1321839,0.2130542,0.6444073,1.264368,1.402439,5.175549,25.25615,18.12849,20.11815,2.673043,1.675928,1.784058,42.70467,29.00747,31.1893,0.07774234,0.03937376,0.2411963,09/05/2017,,5
Filo Mining,Sverige,First North,Gruv & Metall,FIL,CA31730E1016,633.2155,12.05,-0.06225682,-0.05490195,-0.1330935,-0.3268156,-0.1007462,,,,11.0713,11.0713,,,,,-15.26884,-15.26884,,-0.06298757,-0.07802397,0.06722331,31/03/2017,,3
Finepart,Sverige,Aktietorget,Byggprodukter,FINE,SE0009189442,,5.55,-0.04310345,0.08823535,0.11,-0.1590909,,,,,,,,,,,,,,0.02611589,-0.05849373,-0.1631953,,,2
Fingerprint Cards,Sverige,Large Cap,Elektronisk utrustning,FING B,SE0008374250,9555.11,30.52,-0.00909087,-0.0277158,-0.1531631,-0.4246937,-0.6173041,-0.7134272,2.082829,22.65892,5.864945,12.2877,15.84841,1.638112,3.823802,4.511366,20.59291,21.21383,24.08727,-0.06906974,-0.195326,-0.4625198,04/05/2017,,3
Finnair,Finland,Mid Cap,Tjänster & Leverans,FIA1S,FI0009003230,662.4631,5.17,-0.03183522,-0.03183522,0.07933196,0.2368422,0.2427885,0.063786,0.7525423,1.382488,7.185545,6.20598,6.743499,0.2750636,0.2517246,0.2513881,5.257644,-3.011846,1.694556,0.0575583,0.1065739,0.06600785,28/04/2017,,2
Firefly,Sverige,First North,Tjänster & Leverans,FIRE,SE0000395428,238.2397,39.7,-0.002512524,-0.01732675,0.06434321,0.09972306,0.1850747,-0.007499981,0.5753968,2.053846,56.24823,41.24342,40.48735,1.379956,1.308295,1.284235,56.33476,35.36779,34.66019,0.02983713,0.04243469,0.01745629,10/05/2017,,1
FirstFarms,Denmark,Small Cap,Livsmedel,FFARMS,DK0060056166,252092,53.5,-0.009259259,-0.02727273,0,0.009433962,0.1630435,0.1630435,-0.02727273,0.317734,-19814.81,3585.565,-633.9232,1935.343,1876.87,1908.192,-15026.05,-15777.72,-10881.45,-0.01187217,0.03051901,0.0756439,,,1
Fiskars,Finland,Large Cap,Konsument,FIS1V,FI0009000400,1762.596,21.52,-0.02137332,0.00139603,0.09238577,0.08962028,0.2696165,0.2847762,0.09238577,0.4639456,11.66522,-1.559291,17.22882,1.451174,1.243711,1.340086,15.16864,5.667715,20.44953,0.04640508,0.04536235,0.09807134,28/04/2017,,5
FIT Biotech,Finland,First North,Bioteknik,FITBIO,FI4000148606,1.05146,0.038,-0.02564108,-0.1363637,-0.3666667,-0.5581396,-0.6481482,-0.9475862,,,-0.2880971,0.8219361,4.119135,5.231144,495.0038,3.423112,-0.3969271,-5.655924,-4.368237,-0.1443624,-0.2944987,-0.6888698,,,1
FLEX LNG,Norge,Oslo Axess,Tjänster & Leverans,FLNG,VGG359451074,1437.941,11.25,0,0.02272727,-0.1071429,-0.02173913,0.02739728,0.03211013,0.9396551,1.556818,-95.17767,-70.18926,-71.0573,,,,-74.53833,-67.2324,-66.94012,-0.02792585,-0.04676616,0.05820608,,,1
FLSmidth & Co.,Denmark,Large Cap,Produktion,FLS,DK0010234467,18745.87,382.6,-0.03530005,-0.06156489,0.006047905,0.09502008,0.3147767,0.5371636,0.148949,0.2084649,36.18925,41.29136,28.69977,1.030446,0.7455113,0.8028004,14.96079,13.69328,15.41012,-0.008401036,0.06976497,0.2378145,09/05/2017,,1
Flugger,Denmark,Small Cap,Byggprodukter,FLUG B,DK0010218189,0.373,373,0,0,0.01773533,0.09705882,0.1251885,0.04481793,0.07803468,0.09705882,,,,,,,,,,,0.05675745,0.04797196,,,2
FM Mattsson,Sverige,Small Cap,Byggprodukter,FMM B,SE0001116021,981.4088,85.75,0.005865103,-0.06793478,-0.04189944,,,,,,16.16826,4.042066,5.389421,0.8904898,0.2226224,0.2968299,25.3594,6.33985,8.453134,-0.03243536,0.000825286,,,,
Follicum,Sverige,Aktietorget,Läkemedel,FOLLI,SE0006288270,77.94435,4.87,-0.02600002,0.01458327,0.004123707,-0.2838236,-0.02208838,-0.03564362,,,-3.795791,-5.425503,-6.341689,4871.522,3119.329,1709.944,-3.738159,-2.230987,-5.164721,0.08638202,-0.111316,-0.05635625,,,1
Formpipe Software,Sverige,Small Cap,Programvara & Internet,FPIP,SE0001338039,746.0222,14.55,0,-0.01355931,0.1064639,0.1456693,0.5645161,0.6534091,1.425,1.355436,31.50032,26.59365,24.8542,1.931849,1.406757,1.415518,19.89817,16.45974,14.63673,0.01504028,0.08701324,0.2591287,24/04/2017,,1
Fortnox,Sverige,NGM,IT-Tjänster,FNOX MTF,SE0001966656,2062.12,35.3,-0.01944447,-0.01396648,0.1065831,0.02023124,0.1314102,0.5347826,2.017094,13.00794,51.66106,42.54739,44.68405,8.985116,6.767018,7.026637,60.80618,49.23514,56.46954,0.03408766,0.03920901,0.116725,28/04/2017,,
Fortum,Finland,Large Cap,Energiproducenter,FUM1V,FI0009007132,12232.81,13.77,-0.009352458,-0.005776167,0.05114504,-0.03232601,0.008052753,0.04397278,-0.2215941,-0.1167415,24.2259,7.774991,17.2897,3.130198,3.343651,3.584097,-15.38719,18.33173,-8.125569,0.02169812,-0.03484571,-0.02841252,27/04/2017,,6
Fred. Olsen Energy,Norge,OB Match,Olja & Gas,FOE,NO0003089005,1299.48,19.6,0,-0.02970299,-0.2313725,-0.02487562,0.3154363,-0.4166666,-0.8923669,-0.907065,-0.9378843,-1.356363,-1.311349,0.2190763,0.2575445,0.2751825,0.3040539,0.5623088,1.548916,-0.02172816,-0.1132377,0.208668,04/05/2017,,3
Free2Move,Sverige,NGM,Kommunikation,F2M MTF,SE0001907783,59.03176,0.02,0,-0.09090911,-0.1304348,-0.3939394,-0.5555556,0.2499999,-0.6666666,-0.9622642,-6.060606,-4.012387,-5.615921,8.925274,10.45468,6.714735,-5.071893,-3.599355,-4.583004,-0.04534614,-0.1503476,-0.3569686,,,
Freedesk,Sverige,Aktietorget,Konsument,FREESK,SE0009496383,,1.3,-0.09090909,-0.1447369,,,,,,,,,,,,,,,,-0.01870507,,,,,2
FRISQ,Sverige,First North,IT-Tjänster,FRISQ,SE0006994539,299.9776,20.8,-0.03255817,0.04522611,-0.04147472,-0.1186441,0.09473681,,,,-16.39344,-16.39344,,302.3968,302.3968,,-10.24934,-10.24934,,0.005093336,-0.05559558,-0.05144233,17/05/2017,,3
Frontline,Norge,OBX,Olja & Gas,FRO,BMG3682E1921,8634.368,54.4,0,-0.008204138,-0.07718404,-0.06448839,-0.1745068,-0.151326,-0.36,-0.6509464,8.640819,5.619235,7.661667,1.340371,2.373373,2.438545,-9131.1,-1142.695,-3045.692,-0.02710873,-0.02119011,-0.05070627,,,3
